"TF","totaltargets","genomeratio","subtargets","subratio","logFC","pval"
"AT1G22810",4755,0.171939974688121,8,0.444444444444444,1.37009809441305,0.00649098593015789
"AT4G05100",2835,0.102513107937082,6,0.333333333333333,1.70115720105254,0.00724284332314861
"AT4G36620",199,0.00719580546013379,2,0.111111111111111,3.94870309961733,0.00733816878893871
"AT1G30210",3053,0.11039595009944,6,0.333333333333333,1.59427834667534,0.0103579802718436
"AT5G58900",13331,0.482046646176098,14,0.777777777777778,0.690185257116288,0.0162613715749124
"AT1G64620",15125,0.546917374796601,15,0.833333333333333,0.607570793832812,0.0165052584521301
"AT3G10480",8396,0.303597902730067,1,0.0555555555555556,-2.45015873113118,0.0198418503767689
"AT2G40620",8196,0.2963659374435,1,0.0555555555555556,-2.41537654885027,0.0208188368487011
"AT4G18170",9623,0.347966009763153,11,0.611111111111111,0.812488325379373,0.025098899101877
"AT4G38000",7175,0.259446754655578,9,0.5,0.946489605152873,0.0290368378268093
"AT3G21890",11208,0.405279334659194,12,0.666666666666667,0.718048980451312,0.0299956400699757
"AT5G66940",15781,0.570638220936539,15,0.833333333333333,0.546317308224184,0.0301010664433467
"AT5G62470",1107,0.0400289278611463,3,0.166666666666667,2.05785071410058,0.0333609785828244
"AT5G47370",8255,0.298499367203037,10,0.555555555555556,0.896203315247719,0.0348882553845159
"AT3G62420",8374,0.302802386548545,10,0.555555555555556,0.875554612308033,0.0357545710109821
"AT1G29160",8733,0.315783764237932,10,0.555555555555556,0.814994190204414,0.0400817673300248
"AT1G69490",4202,0.151943590670765,6,0.333333333333333,1.13342977420908,0.0442785688784176
"AT5G47660",9003,0.325546917374797,10,0.555555555555556,0.771065710728891,0.0450590128278338
"AT3G15500",6370,0.230338094377147,8,0.444444444444444,0.948250063017312,0.0455424033250281
"AT3G04070",6448,0.233158560838908,8,0.444444444444444,0.930691691633007,0.0475068704426396
"AT4G32800",3207,0.115964563370096,5,0.277777777777778,1.26024717660669,0.0492772940138711
"AT1G53230",1293,0.0467546555776532,3,0.166666666666667,1.83378366107188,0.0492923055142278
"AT1G20910",6556,0.237063822093654,8,0.444444444444444,0.906727581061516,0.0504902000938581
"AT5G59430",563,0.020357982281685,2,0.111111111111111,2.44833660808075,0.0511040775718719
"AT5G06960",2308,0.0834568794069789,4,0.222222222222222,1.41290021151549,0.0575933222240357
"AT3G55370",12069,0.436412945217863,12,0.666666666666667,0.611271697535345,0.0579967490815752
"AT1G32870",4626,0.167275357078286,0,0,-Inf,0.0581030610035054
"AT5G64060",4624,0.16720303742542,0,0,-Inf,0.0581139711116775
"AT3G17730",4565,0.165069607665883,0,0,-Inf,0.0585092846010405
"AT3G02940",7559,0.273332128005786,9,0.5,0.871273047794539,0.0588491821289044
"AT4G34590",7781,0.281359609473875,9,0.5,0.829512857265638,0.0616896466643968
"AT5G60850",13802,0.499077924425963,13,0.722222222222222,0.533177720661076,0.0630934718782223
"AT1G49010",13810,0.499367203037425,13,0.722222222222222,0.532341739156655,0.0632407533973152
"AT1G01250",667,0.0241186042306997,2,0.111111111111111,2.20378476897639,0.068948332894705
"AT3G46590",1512,0.0546736575664437,3,0.166666666666667,1.60804779666106,0.0721182320241806
"AT2G02080",9357,0.33834749593202,10,0.555555555555556,0.715425476953027,0.0775226417280155
"AT4G21030",731,0.026432833122401,2,0.111111111111111,2.07160012420854,0.0808289335125934
"AT1G71450",9574,0.346194178267944,10,0.555555555555556,0.682349724328573,0.0810777664978239
"AT5G25810",1602,0.0579280419453987,3,0.166666666666667,1.52463178847342,0.0827049980785235
"AT1G29280",10214,0.369336467184957,3,0.166666666666667,-1.14797012283028,0.0888576324238904
"AT3G47500",10960,0.396311697703851,11,0.611111111111111,0.624799160950384,0.0890623136973221
"AT3G04060",10054,0.363550894955704,3,0.166666666666667,-1.12519175281323,0.0910847444112529
"AT5G63260",11158,0.403471343337552,11,0.611111111111111,0.598968502750197,0.0920056464957002
"AT5G10030",6110,0.22093653950461,7,0.388888888888889,0.81572597751249,0.0926063153025718
"AT3G10113",15664,0.566407521243898,14,0.777777777777778,0.457517592614884,0.0946311556418902
"AT5G65130",1742,0.0629904176459953,3,0.166666666666667,1.40376131228327,0.100475501288983
"AT2G40740",7217,0.260965467365757,8,0.444444444444444,0.768144180735261,0.103037534750842
"AT5G02840",4715,0.170493581630808,6,0.333333333333333,0.967248165319674,0.106171779173012
"AT1G52880",4760,0.172120773820286,6,0.333333333333333,0.953544362686823,0.107775669762977
"AT4G31060",4807,0.173820285662629,6,0.333333333333333,0.939369132744234,0.109564711613136
"AT3G11280",1813,0.0655577653227264,3,0.166666666666667,1.34612701113797,0.110059906604636
"AT1G34670",4859,0.175700596637136,6,0.333333333333333,0.923846503764847,0.111678219692062
"AT1G74840",7603,0.27492316036883,8,0.444444444444444,0.692974644426867,0.116655667730564
"AT5G11260",8124,0.293762429940336,2,0.111111111111111,-1.40264680413518,0.119450675853388
"AT3G13810",2987,0.108009401554873,4,0.222222222222222,1.04084619785018,0.121893187535169
"AT3G06490",1909,0.0690291086602784,3,0.166666666666667,1.27168883347819,0.123592168483285
"AT5G66730",5126,0.185355270294703,6,0.333333333333333,0.846672457590551,0.124689251703725
"AT1G22070",3067,0.110902187669499,4,0.222222222222222,1.00271526889396,0.131054777713126
"AT4G04890",1978,0.0715241366841439,3,0.166666666666667,1.22046351012302,0.133702942744282
"AT4G27950",1978,0.0715241366841439,3,0.166666666666667,1.22046351012302,0.133702942744282
"AT4G22070",3122,0.112890978123305,4,0.222222222222222,0.977072898183066,0.13753068774854
"AT5G02460",17923,0.648092569155668,15,0.833333333333333,0.362693796431716,0.137709233246099
"AT1G36060",3127,0.113071777255469,4,0.222222222222222,0.974764216235937,0.138126427532708
"AT1G34190",9530,0.3446031459049,3,0.166666666666667,-1.04797027791517,0.139291445863431
"AT1G51700",9240,0.334116796239378,9,0.5,0.581575585299868,0.141131520509098
"AT3G10500",5926,0.214283131440969,1,0.0555555555555556,-1.94751519080031,0.147812532806025
"AT2G42200",16031,0.579678177544748,7,0.388888888888889,-0.575894159706857,0.149846228942529
"AT2G01060",11695,0.422889170131983,11,0.611111111111111,0.531155097558484,0.150482175298593
"AT5G62940",16515,0.597179533538239,14,0.777777777777778,0.381193293045692,0.150795148913209
"AT4G06746",2105,0.0761164346411137,3,0.166666666666667,1.13068570292837,0.153090383270574
"AT1G34180",10965,0.396492496836015,4,0.222222222222222,-0.83529047139998,0.153423000824733
"AT4G01280",11909,0.43062737298861,11,0.611111111111111,0.504994684217309,0.153585192950928
"AT4G21080",14693,0.531296329777617,13,0.722222222222222,0.442926064952309,0.15483685563006
"AT3G45610",14781,0.534478394503706,13,0.722222222222222,0.434311181268728,0.155220020585295
"AT5G56840",14824,0.536033267040318,13,0.722222222222222,0.430120272274802,0.155517100456075
"AT4G23550",12033,0.435111191466281,11,0.611111111111111,0.490050587262607,0.156191851099688
