"TF","totaltargets","genomeratio","subtargets","subratio","logFC","pval"
"AT5G06100",14118,0.510504429578738,37,0.755102040816326,0.564748137171575,0.00053502225293926
"AT3G11280",1813,0.0655577653227264,10,0.204081632653061,1.63830776263128,0.00112788276003188
"AT3G50060",16474,0.595696980654493,40,0.816326530612245,0.454567698993395,0.0012371938728964
"AT1G29160",8733,0.315783764237932,26,0.530612244897959,0.748720970785248,0.00189492514679866
"AT3G15500",6370,0.230338094377147,21,0.428571428571429,0.895782643123177,0.00196608135043924
"AT4G27950",1978,0.0715241366841439,10,0.204081632653061,1.51264426161633,0.00216368589171072
"AT2G27300",4907,0.177436268305912,17,0.346938775510204,0.967380162670193,0.00419995846325442
"AT4G36160",10533,0.380871451817031,28,0.571428571428571,0.585269017943773,0.00768356769254613
"AT5G67300",11038,0.399132164165612,29,0.591836734693878,0.568332702423956,0.00803898355289364
"AT5G18560",2412,0.0872175013559935,10,0.204081632653061,1.22645678047536,0.00880574564225826
"AT5G18450",2095,0.0757548363767854,9,0.183673469387755,1.27773335034368,0.0105142378413378
"AT4G36740",16518,0.597288013017538,38,0.775510204081633,0.376718995614946,0.0125227423455226
"AT1G74650",13683,0.494774905080456,33,0.673469387755102,0.444840041267621,0.0145526573353386
"AT5G66730",5126,0.185355270294703,16,0.326530612244898,0.816925114196498,0.01605619959466
"AT2G22430",7960,0.287832218405352,22,0.448979591836735,0.641421780694364,0.0171961389469928
"AT3G10480",8396,0.303597902730067,23,0.469387755102041,0.628618382252938,0.018554108983976
"AT2G23290",8427,0.304718857349485,23,0.469387755102041,0.623301423697536,0.0187279050551873
"AT1G70920",3786,0.136901102874706,13,0.26530612244898,0.954523899925468,0.0191425660971013
"AT2G18060",5730,0.207195805460134,17,0.346938775510204,0.74368629509415,0.0212711872589545
"AT5G03150",1965,0.0710540589405171,8,0.163265306122449,1.20022928034211,0.0213056228133023
"AT5G07680",2581,0.0933285120231423,10,0.204081632653061,1.12875654628147,0.022038922436947
"AT4G38000",7175,0.259446754655578,20,0.408163265306122,0.653707855925027,0.022139599417465
"AT4G37260",7185,0.259808352919906,20,0.408163265306122,0.651698531030743,0.0223021806163004
"AT4G18170",9623,0.347966009763153,25,0.510204081632653,0.552128053843905,0.0234553357088294
"AT3G12130",9636,0.34843608750678,25,0.510204081632653,0.550180389024333,0.0235508456403554
"AT1G74840",7603,0.27492316036883,21,0.428571428571429,0.640507224532732,0.023728067753092
"AT1G50640",2671,0.0965828964020973,10,0.204081632653061,1.07930671174033,0.0241409165600636
"AT2G32460",8202,0.296582896402097,22,0.448979591836735,0.598214467798162,0.0273154918300358
"AT3G11440",8251,0.298354727897306,22,0.448979591836735,0.589621230576122,0.0278633629583507
"AT3G61150",8282,0.299475682516724,22,0.448979591836735,0.584211008755498,0.0282679656723387
"AT1G34180",10965,0.396492496836015,27,0.551020408163265,0.474812188090592,0.0290239476870185
"AT1G72740",12911,0.466859519074308,15,0.306122448979592,-0.608879652966945,0.0307517927198603
"AT3G10500",5926,0.214283131440969,17,0.346938775510204,0.695162807777137,0.0346864687285165
"AT1G68670",7431,0.268703670222383,20,0.408163265306122,0.603130318407922,0.0352261907389532
"AT3G24120",19976,0.722328692822274,42,0.857142857142857,0.246880194338628,0.037321864035719
"AT5G10030",6110,0.22093653950461,17,0.346938775510204,0.651049054032329,0.0390037574294655
"AT1G80840",6131,0.2216958958597,17,0.346938775510204,0.64609902942965,0.0396435245601551
"AT4G32730",11026,0.398698246248418,27,0.551020408163265,0.466808493560437,0.0399553257592611
"AT3G04070",6448,0.233158560838908,18,0.36734693877551,0.655831850402424,0.0405379759012984
"AT1G51220",5129,0.185463749774001,15,0.306122448979592,0.722971617119281,0.0410562454731746
"AT1G69490",4202,0.151943590670765,13,0.26530612244898,0.804122148956124,0.0430209005255675
"AT4G26030",8528,0.308370999819201,22,0.448979591836735,0.5419827733662,0.0431346549038373
"AT2G37590",13445,0.486168866389441,31,0.63265306122449,0.37995705311472,0.0452537172843817
"AT5G45300",2622,0.0948110649068885,9,0.183673469387755,0.954015908708637,0.0465556660196237
"AT4G36620",199,0.00719580546013379,2,0.0408163265306122,2.50391825694443,0.0487296666167659
"AT4G00730",5649,0.204266859519074,16,0.326530612244898,0.676763092152697,0.0488257982116675
"AT1G71450",9574,0.346194178267944,24,0.489795918367347,0.50059928748947,0.0495596869346364
"AT5G58850",7641,0.276297233773278,20,0.408163265306122,0.56292522738009,0.0535345862457548
"AT1G74480",7686,0.277924425962755,20,0.408163265306122,0.554453711312641,0.0542448167869454
"AT1G52880",4760,0.172120773820286,14,0.285714285714286,0.731151941350375,0.0551149483799566
"AT2G18550",10741,0.388392695715061,26,0.530612244897959,0.450141899862495,0.0555169264551115
"AT4G34410",4818,0.17421804375339,14,0.285714285714286,0.713679121307212,0.0565541926378614
"AT2G18350",10423,0.37689387090942,25,0.510204081632653,0.436916106623099,0.0566785619506363
"AT4G17980",11524,0.416705839811969,27,0.551020408163265,0.403076434491677,0.0604763175912997
"AT3G14180",4937,0.178521063098897,14,0.285714285714286,0.678478869804588,0.0606274302536958
"AT5G47390",12035,0.435183511119147,28,0.571428571428571,0.392949278183823,0.0611299823333079
"AT3G55370",12069,0.436412945217863,28,0.571428571428571,0.388879276198897,0.0616905286394965
"AT3G45610",14781,0.534478394503706,33,0.673469387755102,0.333480739813193,0.0619066740467772
"AT5G03790",14882,0.538130536973423,33,0.673469387755102,0.323656193257823,0.0628270786735546
"AT5G46590",8428,0.304755017175918,21,0.428571428571429,0.491885701449531,0.0636928360056788
"AT5G25190",5021,0.181558488519255,14,0.285714285714286,0.65413878987782,0.0644067033787331
"AT5G62380",9419,0.340589405170855,23,0.469387755102041,0.462746649514425,0.0695913239296524
"AT4G18450",537,0.0194178267944314,3,0.0612244897959184,1.65672710022382,0.0697849011182653
"AT2G30340",3210,0.116073042849394,10,0.204081632653061,0.81411339036578,0.070008517083829
"AT1G03800",4168,0.150714156572048,12,0.244897959183673,0.700365815930732,0.0722466579379418
"AT1G30490",7375,0.266678719942144,19,0.387755102040816,0.540043056907738,0.0737403273890309
"AT3G04060",10054,0.363550894955704,24,0.489795918367347,0.43002340451387,0.0747657103956675
"AT2G02070",7490,0.27083709998192,19,0.387755102040816,0.517720387585552,0.0763412886345484
"AT5G08520",7535,0.272464292171398,19,0.387755102040816,0.509078594446476,0.0776918272745594
"AT3G02940",7559,0.273332128005786,19,0.387755102040816,0.504490717122916,0.0784883751753157
"AT1G69690",921,0.0333032001446393,4,0.0816326530612245,1.29348553139674,0.079955200777
"AT1G32870",4626,0.167275357078286,13,0.26530612244898,0.665433044992981,0.0821368396444826
"AT5G46350",14033,0.507430844331947,31,0.63265306122449,0.318203344452742,0.087119557077376
"AT1G69780",13486,0.487651419273188,30,0.612244897959184,0.328258590768518,0.0873545291321137
"AT3G27785",3699,0.13375519797505,11,0.224489795918367,0.747054911001378,0.0881309916018053
"AT3G23220",1346,0.0486711263785934,5,0.102040816326531,1.06800827776512,0.0889305673025057
"AT5G66700",9750,0.352558307720123,23,0.469387755102041,0.412918330020757,0.0997795123837658
"AT2G20400",5286,0.191140842523956,14,0.285714285714286,0.579937089904113,0.101433220916029
"AT3G13810",2987,0.108009401554873,9,0.183673469387755,0.765986356619595,0.102577918635958
"AT1G29860",7206,0.260567709274996,18,0.36734693877551,0.495484942503599,0.102712688696856
"AT1G69570",7235,0.261616344241548,18,0.36734693877551,0.489690577511303,0.103672382586303
"AT3G10030",2174,0.0786114626649792,7,0.142857142857143,0.861761574518374,0.105380425579158
"AT4G10350",10772,0.389513650334478,25,0.510204081632653,0.389400552761134,0.106063221508021
"AT1G28370",5657,0.204556138130537,15,0.306122448979592,0.581612017452823,0.108136822376802
"AT3G47500",10960,0.396311697703851,25,0.510204081632653,0.364438889414915,0.109563545660145
"AT1G22070",3067,0.110902187669499,9,0.183673469387755,0.727855427663375,0.110046856688656
"AT5G06839",4299,0.15545109383475,12,0.244897959183673,0.65571998322593,0.110606392417911
"AT1G79580",15995,0.578376423793166,34,0.693877551020408,0.262672346735382,0.112453203379758
"AT2G01930",11999,0.433881757367565,27,0.551020408163265,0.34480382386468,0.112830587041083
"AT5G47220",663,0.0239739649249684,3,0.0612244897959184,1.35264031809665,0.112917843385272
"AT2G42200",16031,0.579678177544748,34,0.693877551020408,0.259428916812982,0.113044397715501
"AT3G46590",1512,0.0546736575664437,0,0,-Inf,0.113534875121942
"AT5G13080",14151,0.511697703851022,31,0.63265306122449,0.3061228016242,0.115155340471877
"AT4G22070",3122,0.112890978123305,9,0.183673469387755,0.702213056952483,0.115911655754733
"AT3G15210",8393,0.303489423250768,20,0.408163265306122,0.427500106903616,0.12070488799055
"AT1G12260",8416,0.304321099258724,20,0.408163265306122,0.423551983083137,0.121513256512109
"AT3G60580",8842,0.31972518531911,21,0.428571428571429,0.422703281312775,0.124492390311774
"AT5G11510",1732,0.062628819381667,6,0.122448979591837,0.96728216348251,0.126415836334252
"AT5G47230",700,0.0253118785029832,3,0.0612244897959184,1.27429426637691,0.127166511695124
"AT5G65130",1742,0.0629904176459953,6,0.122448979591837,0.958976469610371,0.127451255534569
"AT5G47660",9003,0.325546917374797,21,0.428571428571429,0.396670195947393,0.129060398980533
"AT1G47655",6480,0.234315675284759,16,0.326530612244898,0.47876477971609,0.130617356403798
"AT3G01220",4950,0.178991140842524,13,0.26530612244898,0.567769785774837,0.133515913858417
"AT3G20770",1118,0.0404266859519074,4,0.0816326530612245,1.01383840464489,0.135626720264951
"AT5G04410",10001,0.361634424154764,23,0.469387755102041,0.376248191704549,0.136578918214585
"AT1G52150",5388,0.194829144820105,14,0.285714285714286,0.552363664083379,0.146116115720296
"AT3G21890",11208,0.405279334659194,25,0.510204081632653,0.332157826831985,0.146657074944484
"AT3G15170",2763,0.0999096004339179,8,0.163265306122449,0.708523030675588,0.148481415087864
"AT2G46590",12280,0.444042668595191,27,0.551020408163265,0.311407439394005,0.150742384637501
"AT1G49480",15124,0.546881214970168,32,0.653061224489796,0.255990743500845,0.152206811201595
"AT1G64620",15125,0.546917374796601,32,0.653061224489796,0.255895355551398,0.152222862621012
"AT1G01060",13356,0.482950641836919,29,0.591836734693878,0.293323494552536,0.15258925568064
"AT5G29000",4077,0.147423612366661,11,0.224489795918367,0.606682254636826,0.154190461488031
"AT1G27730",14675,0.530645452901826,21,0.428571428571429,-0.308212582617937,0.155637104620031
"AT2G26960",2864,0.103561742903634,8,0.163265306122449,0.656727100223824,0.161099415277242
"AT4G04890",1978,0.0715241366841439,6,0.122448979591837,0.775678667450125,0.161853161622155
"AT1G55110",4200,0.151871271017899,11,0.224489795918367,0.563800883571893,0.162564400479076
"AT3G12730",8585,0.310432109925872,20,0.408163265306122,0.394868553485947,0.163789144167878
"AT1G13450",418,0.0151148074489242,2,0.0408163265306122,1.4331837454072,0.169333194558434
"AT1G51700",9240,0.334116796239378,21,0.428571428571429,0.35918316396342,0.173674009630523
"AT4G18770",4587,0.165865123847406,12,0.244897959183673,0.562170186127271,0.175064005755773
"AT1G13260",9335,0.337551979750497,21,0.428571428571429,0.344425993153276,0.177391231899275
"AT1G68550",4691,0.16962574579642,12,0.244897959183673,0.529825592713256,0.180069102492949
"AT3G18400",10209,0.369155668052793,23,0.469387755102041,0.346550896858929,0.181983027538662
"AT5G23280",842,0.0304465738564455,3,0.0612244897959184,1.00782895514284,0.187110504988436
"AT4G31060",4807,0.173820285662629,12,0.244897959183673,0.494584290071338,0.188025922996381
