"TF","totaltargets","genomeratio","subtargets","subratio","logFC","pval"
"AT5G62320",3665,0.132525763876333,9,0.428571428571429,1.69326281724567,0.000817924915847609
"AT1G74480",7686,0.277924425962755,0,0,-Inf,0.00219576070354838
"AT2G18350",10423,0.37689387090942,15,0.714285714285714,0.922342933793341,0.00244312852694079
"AT4G00250",9162,0.331296329777617,1,0.0476190476190476,-2.79851154869348,0.00414676178584246
"AT4G00730",5649,0.204266859519074,10,0.476190476190476,1.22108360837651,0.00477974569787857
"AT1G34670",4859,0.175700596637136,9,0.428571428571429,1.28641658314956,0.00609993990293478
"AT2G24430",5259,0.190164527210269,9,0.428571428571429,1.17228751878615,0.0103697582212022
"AT3G06490",1909,0.0690291086602784,5,0.238095238095238,1.78626200630795,0.0125282617007609
"AT1G34180",10965,0.396492496836015,14,0.666666666666667,0.749672029321176,0.013871034470355
"AT3G02940",7559,0.273332128005786,11,0.523809523809524,0.938387243653076,0.0142715702855445
"AT1G14687",12176,0.440282046646176,15,0.714285714285714,0.698073250929501,0.0144542741450251
"AT5G18270",4785,0.173024769481106,8,0.380952380952381,1.13863208945114,0.0193226846043886
"AT3G24120",19976,0.722328692822274,10,0.476190476190476,-0.601116712216322,0.0245357346571793
"AT1G49010",13810,0.499367203037425,5,0.238095238095238,-1.06856230543352,0.026606185435902
"AT1G79180",2353,0.0850840715964563,5,0.238095238095238,1.48457778848759,0.0285790626221793
"AT1G19000",13311,0.481323449647442,5,0.238095238095238,-1.01546794482949,0.028780381673567
"AT5G10030",6110,0.22093653950461,9,0.428571428571429,0.95590363556075,0.0322836748469671
"AT1G25550",8465,0.306092930753932,2,0.0952380952380952,-1.68435905395847,0.0341585895654311
"AT4G37180",10041,0.363080817212077,3,0.142857142857143,-1.345717536862,0.040247483458378
"AT5G07680",2581,0.0933285120231423,5,0.238095238095238,1.35114896761792,0.040498321115872
"AT4G24240",1772,0.0640752124389803,4,0.19047619047619,1.57177241026951,0.0419681298864577
"AT5G56110",9796,0.354221659736033,12,0.571428571428571,0.689920740981706,0.0422027207946943
"AT2G02450",5156,0.186440065087688,8,0.380952380952381,1.03089875046287,0.0425428393549014
"AT3G21890",11208,0.405279334659194,4,0.19047619047619,-1.08930594160629,0.0472402520495844
"AT1G69780",13486,0.487651419273188,15,0.714285714285714,0.550651012104966,0.0481375040519194
"AT5G62470",1107,0.0400289278611463,3,0.142857142857143,1.83545829276413,0.0497833781587811
"AT3G15170",2763,0.0999096004339179,5,0.238095238095238,1.2528435468994,0.0519821139649153
"AT3G27785",3699,0.13375519797505,6,0.285714285714286,1.09497821442169,0.0520863459224701
"AT4G05100",2835,0.102513107937082,5,0.238095238095238,1.2157303738823,0.0570231247723126
"AT2G03500",9700,0.350750316398481,3,0.142857142857143,-1.29587123241617,0.0644480236048509
"AT1G49560",9713,0.351220394142108,3,0.142857142857143,-1.29780344674008,0.0644724018595679
"AT5G62000",9252,0.334550714156572,3,0.142857142857143,-1.22765175109051,0.0669096677113529
"AT4G18770",4587,0.165865123847406,7,0.333333333333333,1.00695502880017,0.0690187735949156
"AT5G65410",15259,0.551762791538601,16,0.761904761904762,0.46556250115987,0.0768485565919128
"AT5G39760",15422,0.557656843247152,16,0.761904761904762,0.450233046176608,0.0775195586678697
"AT3G04030",12117,0.438148616886639,5,0.238095238095238,-0.879881537712353,0.0785237627542187
"AT1G36060",3127,0.113071777255469,5,0.238095238095238,1.07429988978685,0.0804080892609185
"AT1G27730",14675,0.530645452901826,7,0.333333333333333,-0.670782662002645,0.0815145733924088
"AT5G58900",13331,0.482046646176098,6,0.285714285714286,-0.754599585556608,0.08235968300529
"AT5G08520",7535,0.272464292171398,2,0.0952380952380952,-1.51645649766066,0.0848887869599338
"AT3G25990",2262,0.0817935273910685,4,0.19047619047619,1.21955208483471,0.0873479127249379
"AT5G11260",8124,0.293762429940336,10,0.476190476190476,0.696888869415738,0.0903877695621871
"AT3G10480",8396,0.303597902730067,10,0.476190476190476,0.649376942419735,0.0977357869814868
"AT1G76420",5263,0.190309166516001,7,0.333333333333333,0.808620541389355,0.0995343885857835
"AT3G10500",5926,0.214283131440969,8,0.380952380952381,0.830092387863245,0.104189879786576
"AT5G02460",17923,0.648092569155668,10,0.476190476190476,-0.444661125625888,0.111779279575037
"AT5G61620",10442,0.377580907611643,4,0.19047619047619,-0.987175144523399,0.112792497542188
"AT5G45580",16996,0.614572410052432,9,0.428571428571429,-0.520047328046447,0.114170032586993
"AT5G06950",10780,0.389802928945941,12,0.571428571428571,0.551828241905816,0.115785824333735
"AT2G28810",17774,0.642704755017176,10,0.476190476190476,-0.432617379121095,0.116654746182606
"AT5G39610",6387,0.230952811426505,8,0.380952380952381,0.722012563651078,0.118973472097327
"AT1G72740",12911,0.466859519074308,6,0.285714285714286,-0.708415326517859,0.125289169418785
"AT5G54230",6540,0.236485264870729,8,0.380952380952381,0.68786037843908,0.126294706265016
"AT1G74650",13683,0.494774905080456,14,0.666666666666667,0.430193265303219,0.130169216151014
"AT5G58850",7641,0.276297233773278,9,0.428571428571429,0.633314555271488,0.141738716849897
"AT3G17730",4565,0.165069607665883,6,0.285714285714286,0.791498654674101,0.141738865836982
"AT5G64060",4624,0.16720303742542,6,0.285714285714286,0.772972117045008,0.146315997107891
"AT1G32870",4626,0.167275357078286,6,0.285714285714286,0.772348248909493,0.146474809167769
"AT2G32460",8202,0.296582896402097,3,0.142857142857143,-1.05386222878153,0.153866332073669
"AT2G40620",8196,0.2963659374435,3,0.142857142857143,-1.05280646946556,0.153926287774056
"AT3G12730",8585,0.310432109925872,3,0.142857142857143,-1.11970461934381,0.154029970991799
"AT5G25190",5021,0.181558488519255,1,0.0476190476190476,-1.93082371084334,0.155360474307604
"AT4G36780",4944,0.178774181883927,1,0.0476190476190476,-1.90852772907985,0.155393032995387
"AT2G42430",4846,0.175230518893509,1,0.0476190476190476,-1.87964339062682,0.15609764776812
"AT4G31060",4807,0.173820285662629,1,0.0476190476190476,-1.86798578931337,0.15658763419166
