"TF","totaltargets","genomeratio","subtargets","subratio","logFC","pval"
"AT2G02070",7490,0.27083709998192,52,0.460176991150442,0.764763473983079,1.74250493884666e-05
"AT2G02080",9357,0.33834749593202,60,0.530973451327434,0.650134016701308,3.60009960499439e-05
"AT5G03150",1965,0.0710540589405171,20,0.176991150442478,1.31668825692949,0.000134286087733697
"AT1G55110",4200,0.151871271017899,33,0.292035398230089,0.94329426599307,0.000179738397608177
"AT3G13810",2987,0.108009401554873,25,0.221238938053097,1.03444842665203,0.000414677387701595
"AT1G14687",12176,0.440282046646176,68,0.601769911504425,0.450783956934894,0.000609048873100821
"AT3G28920",14118,0.510504429578738,76,0.672566371681416,0.397753166686232,0.000642571099231221
"AT1G75240",13403,0.484650153679262,73,0.646017699115044,0.414629982558918,0.000651154367098962
"AT4G36740",16518,0.597288013017538,85,0.752212389380531,0.332713300009083,0.00072163030210935
"AT1G03840",3424,0.123811245706021,27,0.238938053097345,0.948494274950417,0.000802234610868645
"AT5G03790",14882,0.538130536973423,78,0.690265486725664,0.359195174461638,0.00124677818450596
"AT2G18550",10741,0.388392695715061,61,0.539823008849557,0.474970400984309,0.00134245885055421
"AT5G66730",5126,0.185355270294703,35,0.309734513274336,0.740739012841485,0.00145939328422864
"AT5G66700",9750,0.352558307720123,56,0.495575221238938,0.491242177721368,0.00212584537906848
"AT4G24020",829,0.0299764961128187,10,0.0884955752212389,1.56177356257971,0.00219780023811656
"AT1G30210",3053,0.11039595009944,3,0.0265486725663717,-2.05597561429753,0.00224570371602501
"AT1G12610",2205,0.079732417284397,19,0.168141592920354,1.0764383321868,0.00242683428825486
"AT3G01220",4950,0.178991140842524,33,0.292035398230089,0.706255068692219,0.00301340663611803
"AT3G46590",1512,0.0546736575664437,0,0,-Inf,0.00303974017554571
"AT5G65410",15259,0.551762791538601,78,0.690265486725664,0.323103180385691,0.00322216573121155
"AT3G01970",7921,0.286421985174471,47,0.415929203539823,0.538195748932943,0.00338957868230828
"AT4G15090",748,0.0270475501717592,9,0.079646017699115,1.55810430074277,0.00370434352702133
"AT5G39760",15422,0.557656843247152,78,0.690265486725664,0.307773725402429,0.00440583878805991
