"TF","totaltargets","genomeratio","subtargets","subratio","logFC","pval"
"AT1G09540",11242,0.40650876875791,16,0.727272727272727,0.839210003391072,0.00363662630417686
"AT5G62320",3665,0.132525763876333,8,0.363636363636364,1.45622361994482,0.00537961288560258
"AT3G17730",4565,0.165069607665883,9,0.409090909090909,1.30934695953672,0.00574311105972989
"AT1G34190",9530,0.3446031459049,14,0.636363636363636,0.884915526226289,0.00608061110972535
"AT1G32870",4626,0.167275357078286,9,0.409090909090909,1.29019655377211,0.00628392991268513
"AT5G06960",2308,0.0834568794069789,6,0.272727272727273,1.70835609504166,0.00781123710409126
"AT2G18380",12550,0.453805821732056,4,0.181818181818182,-1.31957864075951,0.00997538691826023
"AT5G62470",1107,0.0400289278611463,4,0.181818181818182,2.18338159618444,0.0105298866487679
"AT5G25190",5021,0.181558488519255,9,0.409090909090909,1.17198709474044,0.0108410311340764
"AT5G67580",5446,0.196926414753209,0,0,-Inf,0.0135009820905183
"AT5G06839",4299,0.15545109383475,8,0.363636363636364,1.22603570798268,0.0140430860633801
"AT1G54330",6180,0.223467727354909,10,0.454545454545455,1.02435807506161,0.0175331259459764
"AT4G01680",8273,0.299150244078828,12,0.545454545454545,0.866588736872649,0.0178806355025403
"AT1G12260",8416,0.304321099258724,12,0.545454545454545,0.841864614394842,0.0194206847946121
"AT4G26030",8528,0.308370999819201,12,0.545454545454545,0.82279188092797,0.0208471324787284
"AT5G18450",2095,0.0757548363767854,5,0.227272727272727,1.58501466926664,0.0220955724147677
"AT1G24250",2109,0.0762610739468451,5,0.227272727272727,1.57540581805966,0.0226758549239682
"AT1G44830",1398,0.0505514373531007,4,0.181818181818182,1.84667245759055,0.0229926986191399
"AT1G20910",6556,0.237063822093654,10,0.454545454545455,0.939149058753893,0.0232403364107646
"AT1G49560",9713,0.351220394142108,13,0.590909090909091,0.75055957482132,0.0244448885335146
"AT3G01530",9730,0.351835111191466,13,0.590909090909091,0.74803673143861,0.0246383099178654
"AT2G46770",10561,0.381883926957151,14,0.636363636363636,0.736717198397495,0.0255823770138553
"AT5G19790",10668,0.385753028385464,14,0.636363636363636,0.722173915472667,0.0259449760548479
"AT1G68670",7431,0.268703670222383,11,0.5,0.895912067635768,0.0266647526657921
"AT1G22070",3067,0.110902187669499,6,0.272727272727273,1.29817115242013,0.0289376868253413
"AT3G25990",2262,0.0817935273910685,5,0.227272727272727,1.47436598386353,0.0296890325545154
"AT5G07310",7795,0.281865847043934,11,0.5,0.826919414018141,0.0313900344956261
"AT5G02320",2334,0.0843970348942325,5,0.227272727272727,1.429160352146,0.0334292474357933
"AT1G75080",960,0.0347134333755198,3,0.136363636363636,1.97389300807863,0.03935411523094
"AT5G10030",6110,0.22093653950461,9,0.409090909090909,0.888789439702213,0.0410563294510131
"AT1G34670",4859,0.175700596637136,8,0.363636363636364,1.04937738584871,0.042404083772673
"AT5G04410",10001,0.361634424154764,13,0.590909090909091,0.708404179266539,0.0428085088969993
"AT2G02820",9266,0.335056951726632,12,0.545454545454545,0.703052636653874,0.0429647858665702
"AT2G02080",9357,0.33834749593202,3,0.136363636363636,-1.31104673440816,0.0448190633207816
"AT4G37260",7185,0.259808352919906,10,0.454545454545455,0.806976756508654,0.049599557462598
"AT4G17980",11524,0.416705839811969,14,0.636363636363636,0.610822079863723,0.0497480651585574
"AT2G04038",3512,0.12699331043211,6,0.272727272727273,1.10270647415179,0.0515985003368358
"AT3G50260",14013,0.506707647803291,16,0.727272727272727,0.52134287244464,0.0529399461138215
"AT1G76420",5263,0.190309166516001,8,0.363636363636364,0.934151423473214,0.0529631269135643
"AT1G19210",11787,0.426215874163804,14,0.636363636363636,0.578267071843751,0.0532222085238782
"AT3G28920",14118,0.510504429578738,16,0.727272727272727,0.510572997020537,0.0536102539868907
"AT5G51990",13274,0.479985536069427,6,0.272727272727273,-0.815531955205675,0.0565942017527927
"AT1G46768",1889,0.0683059121316218,4,0.181818181818182,1.41241411657762,0.0592394322021843
"AT3G10480",8396,0.303597902730067,11,0.5,0.719766270311133,0.061131553615808
"AT5G46590",8428,0.304755017175918,11,0.5,0.714278122785979,0.0617554601281055
"AT3G15170",2763,0.0999096004339179,5,0.227272727272727,1.18572935104086,0.0619353537515889
"AT5G63090",1184,0.0428132344964744,3,0.136363636363636,1.6713302380582,0.0658595189357899
"AT5G17800",4241,0.153353823901645,7,0.318181818181818,1.05298725742716,0.0666458645004676
"AT1G65910",6318,0.22845778340264,9,0.409090909090909,0.840493882661428,0.0699358875533763
"AT5G13180",9759,0.352883746158018,12,0.545454545454545,0.62826599592486,0.0733714546427552
"AT2G36270",4496,0.162574579642018,7,0.318181818181818,0.968749704802666,0.0741287288087867
"AT4G18770",4587,0.165865123847406,7,0.318181818181818,0.939840832941629,0.0776806320086637
"AT4G10350",10772,0.389513650334478,13,0.590909090909091,0.601262306605412,0.0776861613759217
"AT5G06950",10780,0.389802928945941,13,0.590909090909091,0.600191263467215,0.077756792331469
"AT3G20310",10826,0.391466280961851,13,0.590909090909091,0.594048148392442,0.0782067952805731
"AT2G45420",10834,0.391755559573314,13,0.590909090909091,0.59298244563603,0.0782926831566775
"AT4G16750",10971,0.396709455794612,13,0.590909090909091,0.574853409044559,0.0801136836931668
"AT4G06746",2105,0.0761164346411137,4,0.181818181818182,1.25621658501223,0.0815615526941054
"AT2G31230",11987,0.433447839450371,14,0.636363636363636,0.553993006461362,0.0828131985735216
"AT1G79580",15995,0.578376423793166,17,0.772727272727273,0.417950572213293,0.083138096654336
"AT1G69780",13486,0.487651419273188,15,0.681818181818182,0.483536816246428,0.0871893353283525
"AT2G30250",11329,0.409654673657566,5,0.227272727272727,-0.849983703162408,0.0873784859445971
"AT1G16490",12389,0.44798408967637,14,0.636363636363636,0.506403902972559,0.0876374733912688
"AT4G31060",4807,0.173820285662629,7,0.318181818181818,0.872254936885697,0.0881388119374233
"AT1G06280",13633,0.492966913758814,15,0.681818181818182,0.467896250727798,0.0892398945803394
"AT3G10030",2174,0.0786114626649792,4,0.181818181818182,1.20968487793868,0.089495625473186
"AT3G02940",7559,0.273332128005786,10,0.454545454545455,0.733769524044604,0.0897132285795277
"AT3G12720",13671,0.494340987163262,15,0.681818181818182,0.463880542630112,0.0898955638329881
"AT2G42430",4846,0.175230518893509,7,0.318181818181818,0.860597335572251,0.0902648458057348
"AT1G01720",7615,0.275357078286024,10,0.454545454545455,0.723120876478699,0.0905803384627653
"AT2G36010",4911,0.177580907611643,7,0.318181818181818,0.841374917828289,0.0939876366592681
"AT3G01220",4950,0.178991140842524,7,0.318181818181818,0.82996321516926,0.09632820476008
"AT1G01250",667,0.0241186042306997,2,0.0909090909090909,1.9142781517814,0.0977970059430936
"AT1G03840",3424,0.123811245706021,0,0,-Inf,0.101015035733195
