"TF","totaltargets","genomeratio","subtargets","subratio","logFC","pval"
"AT4G16150",673,0.0243355631892967,7,0.25,3.36079002699297,3.81468469993757e-06
"AT5G09410",2295,0.082986801663352,10,0.357142857142857,2.10554745613188,4.9986658065166e-05
"AT5G60850",13802,0.499077924425963,24,0.857142857142857,0.780270582625848,0.000100972080748692
"AT1G64620",15125,0.546917374796601,25,0.892857142857143,0.707106467383727,0.000169717629011274
"AT4G25480",6745,0.243898029289459,16,0.571428571428571,1.22829507171006,0.0002133964162713
"AT4G15090",748,0.0270475501717592,5,0.178571428571429,2.72293143454541,0.000845491322148755
"AT3G62420",8374,0.302802386548545,17,0.607142857142857,1.00365943805572,0.0013646523557748
"AT3G45610",14781,0.534478394503706,23,0.821428571428571,0.620003498569357,0.00208527499461768
"AT5G63260",11158,0.403471343337552,19,0.678571428571429,0.750034476941193,0.00363241492953715
"AT4G34590",7781,0.281359609473875,15,0.535714285714286,0.929048530816552,0.00515690241960595
"AT5G06960",2308,0.0834568794069789,7,0.25,1.5828252129578,0.0069472596158975
"AT3G12130",9636,0.34843608750678,17,0.607142857142857,0.801141962557552,0.00845114561100202
"AT2G43000",4985,0.180256734767673,11,0.392857142857143,1.12395162889742,0.0106158185359042
"AT1G19210",11787,0.426215874163804,19,0.678571428571429,0.670916359809426,0.0115054883868047
"AT2G02450",5156,0.186440065087688,11,0.392857142857143,1.07529286982133,0.0118912502825027
"AT4G32800",3207,0.115964563370096,8,0.285714285714286,1.30088916110403,0.0119501650713392
"AT5G13080",14151,0.511697703851022,21,0.75,0.551598836073689,0.0132027533713142
"AT2G31220",6890,0.24914120412222,13,0.464285714285714,0.898049250095123,0.0142817402187524
"AT2G26960",2864,0.103561742903634,7,0.25,1.27143694433903,0.0213525983592534
"AT5G15830",6440,0.232869282227445,12,0.428571428571429,0.880015327264862,0.0228170703860349
"AT1G29160",8733,0.315783764237932,15,0.535714285714286,0.762526770310279,0.0229937770328873
"AT3G12250",12753,0.461146266497921,19,0.678571428571429,0.557276268628938,0.0231140119694991
"AT3G18990",5211,0.188428855541493,10,0.357142857142857,0.9224813550015,0.029697972884517
"AT1G22070",3067,0.110902187669499,7,0.25,1.17264027033627,0.029905906675536
"AT5G63090",1184,0.0428132344964744,4,0.142857142857143,1.73844443391673,0.0302631655114226
"AT1G68670",7431,0.268703670222383,13,0.464285714285714,0.788996863719256,0.0303911528618344
"AT5G26170",10181,0.368143192912674,16,0.571428571428571,0.634306146972975,0.0309274529819208
"AT1G06180",2422,0.0875790996203218,6,0.214285714285714,1.29087715057251,0.0316267752213183
"AT5G01380",1235,0.0446573856445489,4,0.142857142857143,1.67760247307364,0.0345830309392001
"AT2G46590",12280,0.444042668595191,18,0.642857142857143,0.533799860730453,0.0373855085179037
"AT5G10030",6110,0.22093653950461,11,0.392857142857143,0.830372753476891,0.0383929162168923
"AT4G25470",8523,0.308190200687037,14,0.5,0.698107104692589,0.0387431627041089
"AT4G25490",9342,0.337805098535527,15,0.535714285714286,0.665272665354009,0.0432053346038354
"AT3G26620",1361,0.0492135237750859,4,0.142857142857143,1.53744644804169,0.0467550221487105
"AT1G32150",6979,0.252359428674742,12,0.428571428571429,0.764055683811042,0.0470810099145653
"AT4G31060",4807,0.173820285662629,9,0.321428571428571,0.886901712850099,0.0470843007880976
"AT5G52020",7033,0.254312059302115,12,0.428571428571429,0.752935798298934,0.0480869759117696
"AT5G46830",7057,0.255179895136503,12,0.428571428571429,0.748021005613692,0.0485726803538759
"AT2G28810",17774,0.642704755017176,23,0.821428571428571,0.353978982769712,0.0499479812736679
"AT5G62940",16515,0.597179533538239,22,0.785714285714286,0.395840069010093,0.0525732487842505
"AT1G31140",11483,0.415223286928223,17,0.607142857142857,0.54814865758621,0.0534240471733237
"AT3G52440",15349,0.555017175917556,21,0.75,0.434358176888741,0.0552322686290832
"AT1G69490",4202,0.151943590670765,8,0.285714285714286,0.911037352872635,0.0617642709335608
"AT2G32460",8202,0.296582896402097,13,0.464285714285714,0.646577489359561,0.0622017329125647
"AT3G10030",2174,0.0786114626649792,5,0.178571428571429,1.18368966940574,0.0645779411881303
"AT1G12610",2205,0.079732417284397,5,0.178571428571429,1.16326295398816,0.0678244349613165
"AT2G35700",4367,0.157909962032182,8,0.285714285714286,0.855470983765431,0.0709562632344965
"AT2G02820",9266,0.335056951726632,14,0.5,0.577521754570015,0.0725967621605855
